episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_metric_batches_dropped,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_replayed,info/timing_breakdown/optimizer_step_time_ms,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles
364.5510431139702,4.293208002783807,86.16126041472772,55.70847890924585,11735,0,655360,False,6553600,227158,11,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-45-13,1568439913,36.30695819854736,416.97222661972046,31557,jimmy-desktop,10.142.16.225,416.97222661972046,6553600,11,10,d6d2e6ec,14.287582688512783,2.9072291043513854,0.8376391335727978,6553600,6553600,100,0,5155.663,59.259,nan,nan,3696.721,100,2.84,1.5409088227406578,"[0.0, 0.9000000000000004, 3.0, 5.0, 5.0]"
438.3862485528428,4.78349136732047,112.78569489809001,67.8393970893971,9620,0,655360,False,7208960,236778,12,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-45-50,1568439950,36.97167253494263,453.9438991546631,31557,jimmy-desktop,10.142.16.225,453.9438991546631,7208960,12,10,d6d2e6ec,14.297479023450222,2.88454394800439,0.8375422177095342,7208960,7208960,110,0,5153.063,59.691,nan,nan,3573.185,110,2.84,1.5409088227406578,"[0.0, 0.9000000000000004, 3.0, 5.0, 5.0]"
455.5501325865299,3.5049403725980004,142.09731320204244,80.54053053670573,8105,0,655360,False,7864320,244883,13,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-46-27,1568439987,37.426900148391724,491.3707993030548,31557,jimmy-desktop,10.142.16.225,491.3707993030548,7864320,13,10,d6d2e6ec,14.320225976514736,2.866011729440959,0.8390448833348607,7864320,7864320,120,0,5154.585,64.29,nan,nan,3639.401,120,2.84,1.5409088227406578,"[0.0, 0.9000000000000004, 3.0, 5.0, 5.0]"
445.05828735768887,4.87451157794705,170.7475651606534,92.45448129851799,7085,0,655360,False,8519680,251968,14,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-47-03,1568440023,36.306297302246094,527.6770966053009,31557,jimmy-desktop,10.142.16.225,527.6770966053009,8519680,14,10,d6d2e6ec,14.31500963456625,2.8406301050503626,0.8368910447370461,8519680,8519680,130,0,5147.616,61.155,nan,nan,3679.707,130,2.9,1.6031219541881396,"[0.0, 0.9000000000000004, 3.0, 5.0, 6.0]"
493.51200737406464,4.713529057412817,207.8069610871535,107.6864490603363,6066,0,655360,False,9175040,258034,15,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-47-40,1568440060,36.438098192214966,564.1151947975159,31557,jimmy-desktop,10.142.16.225,564.1151947975159,9175040,15,10,d6d2e6ec,14.312699277837597,2.8184875496691317,0.8355005061643573,9175040,9175040,140,0,5147.007,59.423,nan,nan,3571.631,140,2.92,1.6104657711357917,"[0.0, 0.9000000000000004, 3.0, 5.0, 6.0]"
522.3827714264862,4.708310092587924,223.34337732512324,112.92741379310345,5800,0,655360,False,9830400,263834,16,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-48-17,1568440097,36.581223011016846,600.6964178085327,31557,jimmy-desktop,10.142.16.225,600.6964178085327,9830400,16,10,d6d2e6ec,14.315146706544816,2.8001985024834415,0.8346524516266128,9830400,9830400,150,0,5147.903,61.26,nan,nan,3586.469,150,2.92,1.6104657711357917,"[0.0, 0.9000000000000004, 3.0, 5.0, 6.0]"
559.221865211371,4.911248593316251,236.3795984052264,116.79957318157567,5623,0,655360,False,10485760,269457,17,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-48-53,1568440133,36.510634660720825,637.2070524692535,31557,jimmy-desktop,10.142.16.225,637.2070524692535,10485760,17,10,d6d2e6ec,14.315536884754078,2.78320705921533,0.8339245416153338,10485760,10485760,160,0,5149.025,61.276,nan,nan,3598.123,160,2.9,1.6031219541881396,"[0.0, 0.9000000000000004, 3.0, 5.0, 6.0]"
477.771717912846,5.172037798081438,246.2888102321165,119.20461566418317,5503,0,655360,False,11141120,274960,18,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-49-30,1568440170,36.54509091377258,673.7521433830261,31557,jimmy-desktop,10.142.16.225,673.7521433830261,11141120,18,10,d6d2e6ec,14.316257749557472,2.7685191445875583,0.8333052733564147,11141120,11141120,170,0,5146.673,59.855,nan,nan,3591.582,170,2.9,1.6031219541881396,"[0.0, 0.9000000000000004, 3.0, 5.0, 6.0]"
438.1612096544352,5.475293703842921,258.1232777538217,122.72543135783945,5332,0,655360,False,11796480,280292,19,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-50-06,1568440206,36.471269369125366,710.2234127521515,31557,jimmy-desktop,10.142.16.225,710.2234127521515,11796480,19,10,d6d2e6ec,14.317100585603704,2.7535266329460937,0.8324936195985558,11796480,11796480,180,0,5147.791,60.42,nan,nan,3596.296,180,2.88,1.5702229141112418,"[0.0, 0.9000000000000004, 3.0, 5.0, 5.0]"
453.9757696861494,5.78862254037306,260.94954819850363,122.88627819548873,5320,0,655360,False,12451840,285612,20,edbfd2cff7a64968a552aac4a51ff57b,2019-09-13_22-50-43,1568440243,36.65964865684509,746.8830614089966,31557,jimmy-desktop,10.142.16.225,746.8830614089966,12451840,20,10,d6d2e6ec,14.320741174208223,2.7419467855760304,0.8325244893758934,12451840,12451840,190,0,5146.983,62.293,nan,nan,3588.863,190,2.92,1.6228370220080635,"[0.0, 0.9000000000000004, 3.0, 5.0, 6.0]"
